nameWithOwner,primaryLanguage,stars,totalIssues,openIssues,closedIssues
ryanmcdermott/clean-code-javascript,JavaScript,39900,96,31,65
jaywcjlove/awesome-mac,JavaScript,39608,271,58,213
yarnpkg/yarn,JavaScript,39151,6048,2276,3772
sveltejs/svelte,JavaScript,38899,3240,489,2751
Dogfalo/materialize,JavaScript,38102,5163,604,4559
prettier/prettier,JavaScript,37978,4587,656,3931
serverless/serverless,JavaScript,37834,4698,791,3907
babel/babel,JavaScript,37654,7374,655,6719
azl397985856/leetcode,JavaScript,37483,200,22,178
nwjs/nw.js,JavaScript,37314,6783,752,6031
juliangarnier/anime,JavaScript,37131,579,123,456
parcel-bundler/parcel,JavaScript,36950,3270,533,2737
ColorlibHQ/AdminLTE,JavaScript,36517,2310,52,2258
impress/impress.js,JavaScript,35942,440,46,394
TryGhost/Ghost,JavaScript,35286,5943,60,5883
leonardomso/33-js-concepts,JavaScript,33502,26,2,24
Unitech/pm2,JavaScript,33489,4119,270,3849
mozilla/pdf.js,JavaScript,32686,7113,621,6492
mermaid-js/mermaid,JavaScript,32504,1196,279,917
adobe/brackets,JavaScript,32135,9575,2552,7023
gulpjs/gulp,JavaScript,31978,1813,22,1791
algorithm-visualizer/algorithm-visualizer,JavaScript,31798,76,12,64
iamkun/dayjs,JavaScript,31787,563,82,481
hexojs/hexo,JavaScript,31502,3587,77,3510
styled-components/styled-components,JavaScript,31364,2226,159,2067
nuxt/nuxt.js,JavaScript,31041,5621,381,5240
sahat/hackathon-starter,JavaScript,31014,588,13,575
alvarotrigo/fullPage.js,JavaScript,30984,3597,162,3435
strapi/strapi,JavaScript,30509,4262,243,4019
immutable-js/immutable-js,JavaScript,30329,1177,152,1025
koajs/koa,JavaScript,30142,805,19,786
chinese-poetry/chinese-poetry,JavaScript,30131,127,52,75
videojs/video.js,JavaScript,29790,4223,260,3963
zenorocha/clipboard.js,JavaScript,29413,542,9,533
Leaflet/Leaflet,JavaScript,29281,4400,417,3983
RocketChat/Rocket.Chat,JavaScript,28597,11785,1682,10103
photonstorm/phaser,JavaScript,28354,3394,61,3333
jondot/awesome-react-native,JavaScript,28338,54,21,33
quilljs/quill,JavaScript,27947,2734,906,1828
jashkenas/backbone,JavaScript,27683,2385,56,2329
preactjs/preact,JavaScript,27444,1303,102,1201
NervJS/taro,JavaScript,27287,6263,731,5532
tastejs/todomvc,JavaScript,26972,739,115,624
caolan/async,JavaScript,26782,1061,6,1055
vuejs/vue-cli,JavaScript,26617,4591,530,4061
react-boilerplate/react-boilerplate,JavaScript,26503,1827,39,1788
dcloudio/uni-app,JavaScript,26495,2034,624,1410
yangshun/front-end-interview-handbook,JavaScript,26371,61,15,46
kenwheeler/slick,JavaScript,26189,3375,1041,2334
aosabook/500lines,JavaScript,25868,63,26,37
jashkenas/underscore,JavaScript,25614,1371,29,1342
carbon-app/carbon,JavaScript,25569,483,18,465
Marak/faker.js,JavaScript,25543,482,170,312
nolimits4web/swiper,JavaScript,25143,3458,172,3286
