nameWithOwner,primaryLanguage,stars,totalIssues,openIssues,closedIssues
521xueweihan/HelloGitHub,Python,34369,1413,4,1409
deepfakes/faceswap,Python,32953,640,5,635
apache/incubator-superset,Python,30568,5073,312,4761
XX-net/XX-Net,Python,30417,12693,7630,5063
0voice/interview_internal_reference,Python,29202,38,20,18
isocpp/CppCoreGuidelines,Python,28937,847,158,689
testerSunshine/12306,Python,28780,642,186,456
floodsung/Deep-Learning-Papers-Reading-Roadmap,Python,28544,42,39,3
apachecn/AiLearning,Python,27622,94,35,59
certbot/certbot,Python,27296,4589,491,4098
pandas-dev/pandas,Python,27047,19197,3402,15795
localstack/localstack,Python,26989,1980,262,1718
3b1b/manim,Python,26491,722,243,479
getsentry/sentry,Python,26401,4186,234,3952
faif/python-patterns,Python,26164,66,10,56
fighting41love/funNLP,Python,25596,33,6,27
google-research/bert,Python,25437,987,666,321
fxsjy/jieba,Python,24476,724,531,193
facebookresearch/Detectron,Python,23792,893,288,605
satwikkansal/wtfpython,Python,22499,129,28,101
openai/gym,Python,22486,1213,162,1051
tiangolo/fastapi,Python,22484,1491,346,1145
ycm-core/YouCompleteMe,Python,22032,2932,21,2911
0xAX/linux-insides,Python,21886,165,40,125
CorentinJ/Real-Time-Voice-Cloning,Python,21145,482,6,476
pypa/pipenv,Python,21122,3221,438,2783
donnemartin/interactive-coding-challenges,Python,21063,54,25,29
hankcs/HanLP,Python,21049,1258,13,1245
docker/compose,Python,20986,5139,397,4742
littlecodersh/ItChat,Python,20905,814,218,596
iperov/DeepFaceLab,Python,20750,814,181,633
mitmproxy/mitmproxy,Python,20265,2343,287,2056
donnemartin/data-science-ipython-notebooks,Python,19682,28,8,20
chubin/cheat.sh,Python,19557,142,70,72
tornadoweb/tornado,Python,19509,1602,175,1427
trailofbits/algo,Python,19464,1339,79,1260
geekcomputers/Python,Python,19117,179,108,71
encode/django-rest-framework,Python,19104,3566,198,3368
apache/airflow,Python,18713,2107,734,1373
swisskyrepo/PayloadsAllTheThings,Python,18707,49,6,43
matterport/Mask_RCNN,Python,18666,2163,1471,692
yunjey/pytorch-tutorial,Python,18529,162,51,111
sqlmapproject/sqlmap,Python,18486,4058,46,4012
psf/black,Python,18302,1225,324,901
eriklindernoren/ML-From-Scratch,Python,18291,55,22,33
keon/algorithms,Python,18031,123,41,82
google/python-fire,Python,17915,193,69,124
explosion/spaCy,Python,17505,4281,144,4137
drduh/macOS-Security-and-Privacy-Guide,Python,17352,220,6,214
sebastianruder/NLP-progress,Python,17031,84,20,64
nicolargo/glances,Python,17026,1276,186,1090
wangzheng0822/algo,Python,16881,109,88,21
sherlock-project/sherlock,Python,16341,399,33,366
StevenBlack/hosts,Python,16289,998,36,962
